step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,protests20today,0.6487058332902496,0.47339184038489296,1.230263157894737,,what makes ucsb activism the way it is today?,literally because of our history its what supported us to have our voice today,,,,,,,,
2,prop2018720protest,0.704295646153664,0.45290910849207217,1.296,,what did ucsb fight for during the 90's?,"literally soooo many issues! 
 ",,,,,,,,
3,nexus20no20on20prop20187,0.5,0.5,1,,NO on prop 187 !!,"various facefront ",,,,,,,,
4,comic20of20prop20187,0.5,0.5,1,,what does this comic remind you of today>,,,,,,,,,
5,hunger-strike-1990s,0.5,0.5,1,," El Congreso Hunger Strike 1994","In 1994, UCSB students organized a hunger strike to demand stronger support for ethnic studies, diversity initiatives, and greater representation for marginalized communities on campus. ",,,,,,,,
6,screenshot202026052820at2092757e280afam,0.5,0.5,1,,"graduate student union strike 1993, how long would issues last? ",didnt come to a full agreement until march 2000,,,,,,,,
7,sa20awareness20,0.5020473547149124,0.606686332350048,1.08,,"SA awareness mid 90's, what type of expression? ",,,,,,,,,
8,academic20and20community20justice20rally20,0.5,0.5,1,,el congreso- procession rally,"Eight students participated in a hunger strike from April 27 to May 5. As members of El Congreso, a Chicano/Latino support group and political student organization, these students were striking to draw attention to the university’s repeated failure to address the needs of Chicano students. ",,,,,,,,
9,screenshot202026050720at2011010e280afam201,0.5171029788011691,0.47749844816883913,0.9,,"ethnic studies program ",dismantling the ethnic studies program Student activists utilized these protests to alter UCSB's academic and cultural landscape permanently. The activism and organizing of the 1990s directly paved the way for UCSB to establish the country's first Ph.D. program in Chicana/o Studies in 2003.,,,,,,,,
10,screenshot202026052820at20102350e280afam,0.5,0.5,1.0000000000000002,,closing,,,,,,,,,
